Procedure,Ratio,MedianTime,MedianSplits,NoTimeout,SatisfiabilityRatio
Benchmark Heuristic,3.2,0.0156185,42,0,1
Two-Clause Heuristic,3.2,0.0104305,43,0,1
Random Heuristic,3.2,0.0495176,43,5,0.95
Benchmark Heuristic,3.4,0.028317,40,0,1
Two-Clause Heuristic,3.4,0.0315706,39.5,0,1
Random Heuristic,3.4,0.211125,110,13,0.87
Benchmark Heuristic,3.6,0.0313815,37,0,1
Two-Clause Heuristic,3.6,0.0356628,40.5,0,1
Random Heuristic,3.6,0.703876,322,28,0.72
Benchmark Heuristic,3.8,0.0361249,39,4,0.96
Two-Clause Heuristic,3.8,0.0785097,53,2,0.97
Random Heuristic,3.8,1.84456,1695.5,49,0.51
Benchmark Heuristic,4,0.0819555,53.5,7,0.91
Two-Clause Heuristic,4,0.157377,116,3,0.93
Random Heuristic,4,10000,10000,77,0.23
Benchmark Heuristic,4.2,0.489132,372,4,0.56
Two-Clause Heuristic,4.2,0.907851,616,5,0.56
Random Heuristic,4.2,10000,10000,100,0.0
Benchmark Heuristic,4.4,0.969279,574.5,8,0.27
Two-Clause Heuristic,4.4,0.973529,620.5,1,0.27
Random Heuristic,4.4,10000,10000,100,0.0
Benchmark Heuristic,4.6,1.03654,577.5,3,0.1
Two-Clause Heuristic,4.6,0.843109,500.5,0,0.1
Random Heuristic,4.6,10000,10000,100,0.0
Benchmark Heuristic,4.8,0.827038,437,0,0.03
Two-Clause Heuristic,4.8,0.721208,393.5,0,0.03
Random Heuristic,4.8,10000,10000,100,0.0
Benchmark Heuristic,5,0.77408,368,3,0
Two-Clause Heuristic,5,0.731739,302.5,1,0
Random Heuristic,5.0,10000,10000,100,0.0
Benchmark Heuristic,5.2,0.692254,313.5,0,0
Two-Clause Heuristic,5.2,0.554496,268.5,0,0
Random Heuristic,5.2,10000,10000,100,0.0
Benchmark Heuristic,5.4,0.535902,224.5,0,0
Two-Clause Heuristic,5.4,0.423862,185.5,0,0
Random Heuristic,5.4,10000,10000,100,0.0
Benchmark Heuristic,5.6,0.487869,202,0,0
Two-Clause Heuristic,5.6,0.397058,173,0,0
Random Heuristic,5.6,10000,10000,100,0.0
Benchmark Heuristic,5.8,0.492596,164.5,0,0
Two-Clause Heuristic,5.8,0.327784,139,0,0
Random Heuristic,5.8,10000,10000,100,0
Benchmark Heuristic,6,0.39863,149,0,0
Two-Clause Heuristic,6,0.30935,120,0,0
Random Heuristic,6,10000,10000,100,0
